trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-106.96682058891875,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-144.68015950771016,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,18,12.069869671591508,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,8,-92.41830720872485,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,4,-28.280973465529836,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,6.893194020324847,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-64.60260677943481,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-149.7611057734707,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-85.94768713686777,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-72.13576069518037,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-58.17521019666479,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-215.6062332001153,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-32.21797626524462,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,7,-20.893912463605915,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,12,9.105437509082847,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,5,-69.92618890821525,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-104.80766830988335,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,7,-83.94802708473256,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,25.110234048596496,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-92.73002605832725,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,11,-6.836785238871724,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-28.02498881599545,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,-88.21180268444684,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,-29.767039918563952,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,3,-0.6041213426981853,"{0: 29, 1: 0, 2: 2, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-30.55403704684125,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-33.96662030929139,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,6,13.541114409056428,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,6,-40.33270166243039,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-39.07999736675957,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-83.66366557183703,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
12,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,-27.656159499635002,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
