trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-191.2820260658584,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-106.25149153052291,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",35,0,-153.79234846030747,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-16.466125168675966,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-84.38434135013148,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-87.21313431211104,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-146.08801552195004,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,19,-35.975746384772734,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-118.5345072406056,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",35,21,-65.34074293593648,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-144.34068749368257,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",25,0,-30.5369626816628,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-125.23460536400617,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",30,0,-159.0537736304078,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-172.19280061106477,"{0: 15, 1: 5, 2: 0, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-40.43222362739459,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,4,-24.047699754670994,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-115.68748224596862,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-61.05029474930328,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-163.78194488232847,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",35,0,-47.40412582047213,"{0: 28, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-40.39210204647752,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",30,0,-184.37958808591915,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,0,-109.9191522526668,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,0,-91.19717955982912,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",35,0,-135.755241544557,"{0: 25, 1: 1, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,7,-13.87131899938053,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-61.0096264275519,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-131.49504291901462,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,5,-67.20557450669476,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",25,0,-68.54863709255528,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",30,0,-67.60212310068334,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",25,0,-43.53657191887506,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-182.73555869447227,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-74.95156157824138,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
