trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-94.35532247308505,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-51.42414882731217,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,9,-30.583317984186763,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-131.0357566625667,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-102.62787435498718,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-80.2944438339621,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-84.21102689122331,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-8.514447147714883,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-90.45683571770691,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-122.66040310547474,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-171.5801636965435,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-101.10212518275743,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-69.87475560825872,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,10,-18.601804161359887,"{0: 5, 1: 4, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-115.38410282194724,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-55.21501626378692,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-204.7844453916865,"{0: 14, 1: 5, 2: 1, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-68.21354958735843,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-151.40598001503278,"{0: 15, 1: 4, 2: 10, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-105.05039969091034,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-86.5819271512511,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-73.3390229863067,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-39.764155665576844,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-105.45693654233735,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-129.74698707697004,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-36.64704870588732,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-166.82320486751524,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,-53.90574066082911,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-142.5736869520798,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,-98.93009116508973,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 2}",1
